ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9788949122021,한성이 서울에게,8,문학,False,0,1
9791173114038,흔한남매,,미상,False,0,1
9791173471148,슈뻘맨의 숨은 생물 찾기 :관찰하며 배우는 생물 지식,4,자연과학,False,0,1
9791130664903,너무 늦은 시간 :클레어 키건 소설,,미상,False,0,1
9788901255712,세븐 테크 =3년 후 당신의 미래를 바꿀 7가지 기술 /Seven tech,3,사회과학,False,0,1
9791155815915,부자의 언어 (양장 리커버 골드씨드 에디션) - 어떻게 살아야 부자가 되는지 묻는 아들에게,,미상,False,0,1
9791190457279,깨어있는 양육 :아이가 보내는 신호를 제대로 읽고 소통하는 법,5,기술과학,False,0,1
9791130649672,흐르는 강물처럼,,미상,False,0,1
9791191825084,기묘한 미술관 :아름답고 서늘한 명화 속 미스터리,,미상,False,0,1
9791167372703,나의 아름다운 날들 :정지아 소설,8,문학,False,0,1
9791168412705,에그박사의 이건 누구 똥?!,4,자연과학,False,0,1
9791189686826,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,True,20,1
9791167031181,이시형의 인생 수업 :90세 국민 정신과 의사와 내 인생을 만들어준 사람들,,미상,False,0,1
9788950981839,"미치지 않고서야 :일본 천재 편집자가 들려주는 새로운 시대, 일하기 혁명",0,총류,False,0,1
9791168341753,벚꽃 수영장,8,문학,False,0,1
9791186494479,(네모아저씨의) 페이퍼 블레이드 :색종이 3장이면 멋진 팽이가 내 것!,,미상,False,0,1
9791190030809,건강하게 나이 든다는 것 :무엇이 우리의 노년을 결정하는가,,미상,False,0,1
9791193506394,"꽃길이 따로 있나, 내 삶이 꽃인 것을",8,문학,False,0,1
9791162541197,이웃집 백만장자 변하지 않는 부의 법칙 :흔들리지 않는 부는 어떻게 축적되는가,3,사회과학,False,0,1
9788934946786,놓지 마 속담 1 - 일상생활,,미상,False,0,1
9791162541289,"울트라러닝, 세계 0.1%가 지식을 얻는 비밀 :짧은 시간에 가장 완벽한 지식을 얻는 9단계 초학습법",3,사회과학,False,0,1
9788995563502,부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길,3,사회과학,False,0,1
9791188364268,과학의 관점 :나만의 '의문'을 찾아내자!,4,자연과학,False,0,1
9791192579887,바다가 들리는 편의점,8,문학,False,0,1
9791164134649,(흔한남매) 안 흔한 일기,8,문학,False,0,1
9791173477683,슈뻘맨의 숨은 생물 찾기 :관찰하며 배우는 생물 지식,4,자연과학,False,0,1
9788949162539,하하 자매 떡집,8,문학,False,0,1
9791191438406,거꾸로 읽는 세계사,9,역사,False,0,1
9788901229614,초예측 :세계 석학 8인에게 인류의 미래를 묻다,,미상,False,0,1
9788970673592,니체의 인생 상담소 :인생의 본질에 대한 니체의 12가지 통찰과 조언!,1,철학,False,0,1
9788991071117,빨치산의 딸:정지아 장편소설,,미상,False,0,1
9791130699769,띵동! 당신의 눈물이 입금되었습니다 :최소망 장편소설,,미상,False,0,1
9791186494714,(네모아저씨의) 페이퍼 블레이드,6,예술,False,0,1
9791199491755,한번 시작하면 잠들 수 없는 세계사 :문명의 탄생부터 국제 정세까지 거침없이 내달린다,,미상,False,0,1
9791171175222,혈당 잡고 비만 잡고 노화 잡는 토탈 리셋 :잃어버린 건강을 되돌리는 기적의 다이어트 습관,5,기술과학,False,0,1
9788965708131,"어른이 되면 괜찮을 줄 알았다 :심리학, 어른의 안부를 묻다",1,철학,False,0,1
9791169794183,(타키·포오의) 이세계 여행사,8,문학,False,0,1
9791173320927,별별 직업 상담소,3,사회과학,False,0,1
9791186494837,(네모아저씨의) 페이퍼 블레이드 :유닛의 경계를 넘어! 종이접기의 한계를 넘어!,6,예술,False,0,1
9791189279912,"부의 심리학 :돈, 관계, 인생을 컨트롤하는 힘",3,사회과학,False,0,1
9791158464134,100세 시대 두 발 혁명 :정형외과 족부전문의가 알려주는 발 건강 바이블,5,기술과학,False,0,1
9788947549967,페이머스 :왜 그들만 유명할까,3,사회과학,False,0,1
9791173320224,(흔한 남매) 세계사 탐험대,,미상,False,0,1
9791192389776,강인함의 힘 :회복탄력성을 능가하는 강인함의 비밀,3,사회과학,False,0,1
9788934942641,놓지 마 맞춤법,7,언어,True,13,1
9791191211467,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message,3,사회과학,False,0,1
9791164052547,세계를 움직인 열 가지 프레임 :현대 문명의 본질과 허상을 단숨에 꿰뚫는 세계사,9,역사,False,0,1
9791190808729,축구 잘하는 50가지 비밀 :진짜 진짜 축구 잘하고 싶은 어린이만 보는 책!,,미상,False,0,1
9788927107255,산타 언니의 디지털 세탁소,,미상,False,0,1
9791158733018,부모의 말이 아이의 인생이 된다,5,기술과학,False,0,1
9788936434267,아몬드 :손원평 장편소설,8,문학,False,0,1
9791157062805,미스터 프레지던트 =국가 기념식과 대통령 행사 이야기 /Mr. president,3,사회과학,False,0,1
